Sampling Sites	Days	Taxonomy	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Mouth	180	Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Bulleidia.moorei.asv_554	FALSE	0.921	0.244	0.378	0.458	0.164
Mouth	180	Fusobacteria.Fusobacteriia.Fusobacteriales.Leptotrichiaceae.unknown.unknown.asv_9077	FALSE	0.85	0.4	0.163	0.027	0.81
Mouth	180	Fusobacteria.Fusobacteriia.Fusobacteriales.Leptotrichiaceae.Leptotrichia.unknown.asv_923	FALSE	0.808	0.133	0.293	0.629	0.078
Mouth	180	Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingobium.xenophagum.asv_1165	TRUE	0.874	0.178	0.456	0.355	0.189
Mouth	180	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.unknown.unknown.asv_72	FALSE	0.959	0.133	0.51	0.376	0.114
Mouth	180	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.Neisseria.unknown.asv_270	FALSE	0.926	0.111	0.332	0.582	0.086
Mouth	180	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.unknown.asv_99	TRUE	0.907	0.311	0.535	0.338	0.128
Mouth	180	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.unknown.asv_105	FALSE	0.885	0.156	0.341	0.5	0.16
Skin	2	Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Varibaculum.unknown.asv_28	TRUE	0.909	0.116	0.365	0.455	0.179
Skin	2	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.kroppenstedtii.asv_3762	FALSE	0.815	0.116	0.298	0.594	0.108
Skin	2	Actinobacteria.Actinobacteria.Actinomycetales.Dietziaceae.Dietzia.unknown.asv_3764	FALSE	0.954	0.101	0.429	0.414	0.157
Skin	2	Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium.unknown.asv_2	TRUE	0.969	0.377	0.46	0.404	0.136
Skin	2	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_403	TRUE	0.976	0.101	0.404	0.472	0.125
Skin	2	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_1059	TRUE	0.955	0.101	0.354	0.533	0.113
Skin	2	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.copri.asv_386	TRUE	0.928	0.101	0.364	0.476	0.16
Skin	2	Firmicutes.Bacilli.Bacillales.Bacillaceae.Geobacillus.unknown.asv_21109	FALSE	0.821	0.116	0.331	0.458	0.211
Skin	2	Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.iners.asv_2259	TRUE	0.929	0.493	0.422	0.4	0.178
Skin	2	Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Leuconostoc.unknown.asv_2819	FALSE	0.904	0.13	0.312	0.621	0.067
Skin	2	Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.unknown.asv_26	TRUE	0.922	0.29	0.424	0.394	0.182
Skin	2	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].1-68.unknown.asv_46	TRUE	0.96	0.13	0.346	0.567	0.087
Skin	2	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_546	TRUE	0.918	0.116	0.354	0.487	0.159
Skin	2	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_605	TRUE	0.895	0.275	0.338	0.505	0.157
Skin	2	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_76	TRUE	0.867	0.13	0.356	0.438	0.206
Skin	2	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_60	TRUE	0.857	0.101	0.346	0.451	0.203
Skin	2	Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Thermoanaerobacterium.unknown.asv_21309	FALSE	0.929	0.159	0.111	0.064	0.825
Skin	2	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.prausnitzii.asv_1681	TRUE	0.897	0.101	0.407	0.394	0.199
Skin	2	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Gemmiger.formicilis.asv_787	TRUE	0.886	0.101	0.329	0.522	0.149
Skin	2	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.dispar.asv_91	TRUE	0.823	0.333	0.345	0.429	0.226
Skin	2	Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingomonas.unknown.asv_633	FALSE	0.847	0.101	0.408	0.367	0.225
Skin	2	Proteobacteria.Betaproteobacteria.Burkholderiales.Burkholderiaceae.Lautropia.unknown.asv_289	FALSE	0.848	0.159	0.416	0.362	0.222
Skin	2	Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.unknown.unknown.asv_194	FALSE	0.917	0.101	0.447	0.374	0.179
Skin	2	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.Neisseria.unknown.asv_207	TRUE	0.853	0.478	0.373	0.405	0.222
Skin	2	Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.unknown.unknown.asv_6	TRUE	0.809	0.42	0.295	0.613	0.093
Skin	2	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.unknown.asv_110	FALSE	0.801	0.101	0.147	0.099	0.755
Skin	2	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.guillouiae.asv_143	FALSE	0.927	0.29	0.381	0.446	0.173
Skin	2	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.johnsonii.asv_226	FALSE	0.813	0.348	0.178	0.023	0.799
Skin	2	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.unknown.unknown.asv_1256	FALSE	0.856	0.101	0.136	0.081	0.783
Skin	30	[Thermi].Deinococci.Thermales.Thermaceae.Thermus.unknown.asv_4084	TRUE	0.964	0.101	0.39	0.487	0.123
Skin	30	[Thermi].Deinococci.Thermales.Thermaceae.Thermus.unknown.asv_266	TRUE	0.8	0.629	0.324	0.451	0.225
Skin	30	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_41	TRUE	0.976	0.876	0.443	0.442	0.115
Skin	30	Actinobacteria.Actinobacteria.Actinomycetales.Dermabacteraceae.Dermabacter.unknown.asv_646	TRUE	0.957	0.101	0.441	0.416	0.143
Skin	30	Actinobacteria.Actinobacteria.Actinomycetales.Geodermatophilaceae.unknown.unknown.asv_1667	FALSE	0.951	0.101	0.353	0.545	0.101
Skin	30	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Arthrobacter.unknown.asv_462	FALSE	0.923	0.124	0.485	0.362	0.154
Skin	30	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Micrococcus.unknown.asv_189	TRUE	0.89	0.573	0.351	0.47	0.179
Skin	30	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia.mucilaginosa.asv_1625	TRUE	0.945	0.18	0.519	0.359	0.121
Skin	30	Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Atopobium.vaginae.asv_6850	TRUE	0.955	0.112	0.333	0.628	0.039
Skin	30	Bacteroidetes.Bacteroidia.Bacteroidales.[Paraprevotellaceae].[Prevotella].unknown.asv_678	TRUE	0.823	0.517	0.3	0.582	0.118
Skin	30	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.fragilis.asv_684	TRUE	0.934	0.191	0.334	0.582	0.085
Skin	30	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_208	TRUE	0.834	0.326	0.341	0.44	0.219
Skin	30	Bacteroidetes.Flavobacteriia.Flavobacteriales.[Weeksellaceae].unknown.unknown.asv_1653	FALSE	0.881	0.146	0.348	0.469	0.183
Skin	30	Firmicutes.Bacilli.Gemellales.Gemellaceae.unknown.unknown.asv_78	TRUE	0.883	0.876	0.469	0.349	0.183
Skin	30	Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Alloiococcus.otitis.asv_2924	FALSE	0.895	0.124	0.143	0.036	0.821
Skin	30	Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.helveticus.asv_314	TRUE	0.896	0.506	0.338	0.51	0.152
Skin	30	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_83	TRUE	0.965	0.494	0.46	0.41	0.13
Skin	30	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_546	TRUE	0.951	0.213	0.443	0.409	0.149
Skin	30	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Peptoniphilus.unknown.asv_145	TRUE	0.835	0.371	0.427	0.348	0.225
Skin	30	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].WAL_1855D.unknown.asv_42	TRUE	0.861	0.258	0.481	0.334	0.184
Skin	30	Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.marcusii.asv_197	FALSE	0.983	0.202	0.481	0.42	0.098
Skin	30	Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Blastomonas.unknown.asv_3029	TRUE	0.8	0.225	0.187	0.015	0.798
Skin	30	Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.unknown.unknown.asv_89	FALSE	0.897	0.112	0.335	0.521	0.144
Skin	30	Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.Massilia.unknown.asv_98	FALSE	0.843	0.292	0.315	0.528	0.157
Skin	30	Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.unknown.asv_373	FALSE	0.881	0.112	0.107	0.1	0.793
Skin	30	Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Haemophilus.unknown.asv_665	TRUE	0.85	0.494	0.343	0.45	0.207
Skin	30	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.unknown.asv_739	FALSE	0.935	0.135	0.343	0.549	0.108
Skin	30	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.rhizosphaerae.asv_523	FALSE	0.875	0.258	0.305	0.63	0.065
Skin	30	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Enhydrobacter.unknown.asv_90	TRUE	0.939	0.607	0.371	0.486	0.143
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.unknown.asv_719	FALSE	0.876	0.256	0.313	0.575	0.112
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_92	TRUE	0.977	0.302	0.353	0.591	0.055
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_41	TRUE	0.832	0.86	0.39	0.373	0.237
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_565	FALSE	0.802	0.116	0.341	0.416	0.242
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_33	TRUE	0.961	0.605	0.395	0.464	0.141
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_71	TRUE	0.898	0.605	0.414	0.388	0.199
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Microbacteriaceae.Yonghaparkia.unknown.asv_220	FALSE	0.955	0.116	0.336	0.599	0.065
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Arthrobacter.unknown.asv_462	FALSE	0.893	0.14	0.354	0.462	0.184
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Micrococcus.unknown.asv_189	TRUE	0.88	0.767	0.332	0.506	0.162
Skin	120	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia.mucilaginosa.asv_1625	TRUE	0.959	0.302	0.515	0.366	0.119
Skin	120	Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium.unknown.asv_2	TRUE	0.829	0.674	0.294	0.636	0.07
Skin	120	Bacteroidetes.Bacteroidia.Bacteroidales.[Paraprevotellaceae].[Prevotella].unknown.asv_377	FALSE	0.807	0.116	0.172	0.052	0.776
Skin	120	Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas.unknown.asv_679	FALSE	0.83	0.535	0.377	0.384	0.239
Skin	120	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_403	TRUE	0.86	0.233	0.159	0.039	0.802
Skin	120	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_208	TRUE	0.837	0.256	0.339	0.446	0.214
Skin	120	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.copri.asv_386	TRUE	0.859	0.186	0.299	0.64	0.061
Skin	120	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.nanceiensis.asv_683	FALSE	0.856	0.372	0.322	0.513	0.165
Skin	120	Bacteroidetes.Flavobacteriia.Flavobacteriales.[Weeksellaceae].unknown.unknown.asv_1653	FALSE	0.97	0.14	0.354	0.567	0.079
Skin	120	Bacteroidetes.Flavobacteriia.Flavobacteriales.[Weeksellaceae].Chryseobacterium.unknown.asv_2227	FALSE	0.898	0.186	0.479	0.348	0.172
Skin	120	Firmicutes.Clostridia.Clostridiales.[Mogibacteriaceae].Mogibacterium.unknown.asv_917	FALSE	0.85	0.186	0.391	0.382	0.228
Skin	120	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_81	TRUE	0.98	0.465	0.441	0.44	0.119
Skin	120	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_83	TRUE	0.967	0.465	0.372	0.515	0.113
Skin	120	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_69	TRUE	0.862	0.279	0.39	0.388	0.222
Skin	120	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_76	TRUE	0.81	0.256	0.431	0.337	0.232
Skin	120	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Peptoniphilus.unknown.asv_890	TRUE	0.945	0.116	0.351	0.53	0.119
Skin	120	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.[Ruminococcus].gnavus.asv_616	FALSE	0.89	0.279	0.355	0.458	0.187
Skin	120	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Dialister.unknown.asv_44	TRUE	0.998	0.14	0.486	0.466	0.048
Skin	120	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.unknown.asv_82	TRUE	0.857	0.744	0.357	0.428	0.216
Skin	120	Fusobacteria.Fusobacteriia.Fusobacteriales.Leptotrichiaceae.unknown.unknown.asv_9077	FALSE	0.932	0.163	0.343	0.533	0.124
Skin	120	Proteobacteria.Alphaproteobacteria.Rhizobiales.Bradyrhizobiaceae.unknown.unknown.asv_481	FALSE	0.812	0.163	0.476	0.32	0.204
Skin	120	Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.unknown.unknown.asv_96	FALSE	0.903	0.302	0.339	0.508	0.153
Skin	120	Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.unknown.unknown.asv_4564	FALSE	0.809	0.116	0.301	0.554	0.144
Skin	120	Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.unknown.unknown.asv_2526	FALSE	0.801	0.14	0.336	0.427	0.237
Skin	120	Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.Massilia.unknown.asv_115	FALSE	0.919	0.186	0.357	0.481	0.162
Skin	120	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.unknown.unknown.asv_2267	FALSE	0.874	0.116	0.311	0.583	0.105
Skin	120	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.unknown.unknown.asv_168	TRUE	0.966	0.535	0.36	0.542	0.098
Skin	120	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.Neisseria.unknown.asv_207	TRUE	0.866	0.628	0.328	0.501	0.171
Skin	120	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.Neisseria.unknown.asv_568	FALSE	0.873	0.512	0.381	0.405	0.214
Skin	120	Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.unknown.unknown.asv_1564	FALSE	0.838	0.14	0.358	0.413	0.229
Skin	120	Proteobacteria.Gammaproteobacteria.Oceanospirillales.Oceanospirillaceae.Marinomonas.primoryensis.asv_11587	FALSE	0.871	0.116	0.131	0.081	0.788
Skin	120	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.unknown.asv_1602	FALSE	0.87	0.14	0.412	0.373	0.214
Skin	120	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.johnsonii.asv_226	FALSE	0.845	0.605	0.369	0.402	0.229
Skin	120	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.rhizosphaerae.asv_523	FALSE	0.94	0.302	0.466	0.377	0.157
Skin	180	[Thermi].Deinococci.Thermales.Thermaceae.Thermus.unknown.asv_266	TRUE	0.802	0.488	0.36	0.382	0.258
Skin	180	Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.unknown.asv_64	FALSE	0.92	0.395	0.417	0.395	0.188
Skin	180	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_565	FALSE	0.967	0.163	0.422	0.436	0.143
Skin	180	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_286	FALSE	0.892	0.233	0.446	0.359	0.195
Skin	180	Actinobacteria.Actinobacteria.Actinomycetales.Dermabacteraceae.Brachybacterium.unknown.asv_575	FALSE	0.819	0.302	0.36	0.393	0.248
Skin	180	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Arthrobacter.unknown.asv_389	FALSE	0.843	0.186	0.298	0.613	0.089
Skin	180	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia.mucilaginosa.asv_63	FALSE	0.87	0.488	0.443	0.35	0.207
Skin	180	Actinobacteria.Actinobacteria.Actinomycetales.Mycobacteriaceae.Mycobacterium.llatzerense.asv_829	FALSE	0.955	0.163	0.357	0.525	0.118
Skin	180	Actinobacteria.Actinobacteria.Actinomycetales.Nocardioidaceae.Aeromicrobium.unknown.asv_1271	FALSE	0.842	0.116	0.407	0.36	0.233
Skin	180	Actinobacteria.Actinobacteria.Actinomycetales.Nocardioidaceae.Nocardioides.unknown.asv_214	FALSE	0.848	0.14	0.314	0.526	0.16
Skin	180	Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Atopobium.unknown.asv_271	FALSE	0.847	0.372	0.322	0.494	0.184
Skin	180	Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Atopobium.vaginae.asv_6850	TRUE	0.862	0.116	0.3	0.628	0.073
Skin	180	Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella.aerofaciens.asv_3248	TRUE	0.801	0.163	0.153	0.101	0.746
Skin	180	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_712	FALSE	0.819	0.163	0.371	0.379	0.25
Skin	180	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.melaninogenica.asv_331	FALSE	0.96	0.14	0.365	0.514	0.121
Skin	180	Bacteroidetes.Flavobacteriia.Flavobacteriales.[Weeksellaceae].Chryseobacterium.unknown.asv_3214	FALSE	0.929	0.302	0.329	0.572	0.099
Skin	180	Bacteroidetes.Flavobacteriia.Flavobacteriales.[Weeksellaceae].Chryseobacterium.unknown.asv_2136	FALSE	0.897	0.163	0.351	0.465	0.183
Skin	180	Bacteroidetes.Flavobacteriia.Flavobacteriales.[Weeksellaceae].Cloacibacterium.unknown.asv_66	FALSE	0.913	0.233	0.321	0.582	0.097
Skin	180	Bacteroidetes.Flavobacteriia.Flavobacteriales.Flavobacteriaceae.Capnocytophaga.unknown.asv_924	FALSE	0.963	0.163	0.397	0.461	0.142
Skin	180	Firmicutes.Bacilli.Bacillales.Bacillaceae.Geobacillus.unknown.asv_3884	FALSE	0.842	0.14	0.386	0.377	0.238
Skin	180	Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Aerococcus.unknown.asv_1193	FALSE	0.949	0.372	0.456	0.388	0.156
Skin	180	Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.zeae.asv_820	FALSE	0.819	0.163	0.492	0.314	0.194
Skin	180	Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus.unknown.asv_97	FALSE	0.919	0.349	0.435	0.381	0.185
Skin	180	Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.unknown.asv_25	TRUE	0.83	0.744	0.484	0.32	0.196
Skin	180	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].1-68.unknown.asv_46	TRUE	0.881	0.233	0.359	0.437	0.204
Skin	180	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_546	TRUE	0.941	0.233	0.399	0.431	0.17
Skin	180	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_76	TRUE	0.893	0.209	0.335	0.502	0.163
Skin	180	Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.unknown.asv_12	FALSE	0.95	0.116	0.357	0.516	0.127
Skin	180	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea.unknown.asv_1346	FALSE	0.81	0.163	0.168	0.066	0.766
Skin	180	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.prausnitzii.asv_247	TRUE	0.942	0.14	0.373	0.471	0.156
Skin	180	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.unknown.asv_5691	FALSE	0.978	0.186	0.416	0.46	0.124
Skin	180	Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Bulleidia.moorei.asv_554	FALSE	0.835	0.209	0.454	0.332	0.214
Skin	180	Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Clostridium.ramosum.asv_5270	FALSE	0.923	0.186	0.328	0.568	0.105
Skin	180	Fusobacteria.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Fusobacterium.unknown.asv_6807	FALSE	0.95	0.186	0.337	0.578	0.085
Skin	180	Proteobacteria.Alphaproteobacteria.Rhizobiales.Methylobacteriaceae.Methylobacterium.unknown.asv_339	FALSE	0.992	0.14	0.386	0.558	0.055
Skin	180	Proteobacteria.Alphaproteobacteria.Rhizobiales.Methylobacteriaceae.Methylobacterium.adhaesivum.asv_100	FALSE	0.955	0.209	0.341	0.574	0.085
Skin	180	Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.unknown.unknown.asv_96	FALSE	0.946	0.419	0.456	0.386	0.158
Skin	180	Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.unknown.asv_107	FALSE	0.91	0.442	0.35	0.48	0.169
Skin	180	Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.unknown.asv_857	FALSE	0.87	0.116	0.344	0.456	0.2
Skin	180	Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Kaistobacter.unknown.asv_445	FALSE	0.883	0.163	0.312	0.581	0.107
Skin	180	Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Achromobacter.unknown.asv_137	FALSE	0.981	0.233	0.455	0.426	0.119
Skin	180	Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.unknown.unknown.asv_5103	FALSE	0.965	0.116	0.115	0.017	0.868
Skin	180	Proteobacteria.Betaproteobacteria.Burkholderiales.Comamonadaceae.unknown.unknown.asv_831	FALSE	0.875	0.163	0.162	0.025	0.813
Skin	180	Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.unknown.unknown.asv_129	FALSE	0.856	0.279	0.352	0.43	0.218
Skin	180	Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.Massilia.unknown.asv_98	FALSE	0.905	0.279	0.363	0.451	0.186
Skin	180	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.unknown.unknown.asv_72	FALSE	0.883	0.163	0.33	0.508	0.162
Skin	180	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.unknown.asv_110	FALSE	0.987	0.233	0.384	0.541	0.075
Skin	180	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Moraxella.unknown.asv_290	FALSE	0.85	0.302	0.308	0.556	0.136
Skin	180	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.unknown.asv_88	FALSE	0.845	0.14	0.321	0.495	0.184
Skin	180	Proteobacteria.Gammaproteobacteria.Vibrionales.Vibrionaceae.Photobacterium.unknown.asv_705	FALSE	0.867	0.186	0.319	0.529	0.152
Skin	180	Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.unknown.unknown.asv_4573	FALSE	0.85	0.186	0.159	0.054	0.787
